artid,journal,volume,issue,year,month,pages,cited3,cited2012,aut_num,ack_num,com_num,aut_cluster,ack_cluster,com_cluster,bip_cluster,aut_jaccard,ack_jaccard,com_jaccard,aut_density,ack_density,com_density,bip_density,aut_avgdegree,ack_avgdegree,com_avgdegree,bip_avgdegree,aut_flowhier,ack_flowhier,com_flowhier,aut_numcomp,ack_numcomp,com_numcomp,bip_numcomp
43,annurevisoci,34,1,2008,6,339-358,3,7,1,1,2,99,99,99,0.0,99,99,0.210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,1,2,2

44,annurevisoci,34,1,2008,6,359-384,2,3,1,2,3,99,99,0.0,0.0,99,0.0384615384615,0.0128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,2,3,3

45,annurevisoci,34,1,2008,6,385-404,4,7,3,0,3,0.0,99,0.0,0.0,0.0684502923977,99,0.0684502923977,0.666666666667,0.0,0.666666666667,0.0,1.33333333333,0.0,1.33333333333,0.0,0.0,99,0.0,2,0,2,3

46,annurevisoci,34,1,2008,6,405-429,45,70,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

47,annurevisoci,34,1,2008,6,431-452,7,11,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

48,annurevisoci,34,1,2008,6,453-473,1,1,1,1,2,99,99,99,0.0,99,99,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.5,99,99,1.0,1,1,1,1

49,annurevisoci,34,1,2008,6,475-499,5,8,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

50,annurevisoci,33,1,2007,6,1-19,3,7,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

51,annurevisoci,33,1,2007,6,21-41,12,24,2,1,3,99,99,0.0,0.0,0.153846153846,99,0.0712225274725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,1,3,3

52,annurevisoci,33,1,2007,6,43-64,29,65,2,7,9,99,0.0,0.0,0.0,0.7,0.0947364967861,0.105805632075,0.0,0.0238095238095,0.0138888888889,0.0,0.0,0.142857142857,0.111111111111,0.0,99,1.0,1.0,2,6,8,9

53,annurevisoci,33,1,2007,6,65-84,7,12,2,1,3,99,99,0.0,0.0,0.333333333333,99,0.555555555556,0.0,0.0,0.333333333333,1.0,0.0,0.0,0.666666666667,0.666666666667,99,99,1.0,2,1,1,1

54,annurevisoci,33,1,2007,6,85-104,8,15,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

55,annurevisoci,33,1,2007,6,105-128,28,50,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

56,annurevisoci,33,1,2007,6,129-156,21,72,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

57,annurevisoci,33,1,2007,6,157-174,2,4,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

58,annurevisoci,33,1,2007,6,175-196,8,23,2,4,6,99,0.0,0.0,0.0,0.0571428571429,0.0769935407185,0.0569092679402,0.5,0.0,0.133333333333,0.375,0.5,0.0,0.666666666667,0.5,1.0,99,0.25,1,4,4,5

59,annurevisoci,33,1,2007,6,197-217,5,9,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

