egoname,author,num_acknowledged,num_authored,indegree,outdegree,total_coauthors,unique_coauthors,citation,z_score,mentor_index,avg_coauth_per_article,log_citation,log_ack,log_coauthor,log_z,ack_sq,N_only_coauth,N_only_ack
Miller McPherson,Miller McPherson,13,3,18,10,7,4,742.0,0.009182558077636937,-0.25,2.3333333333333335,6.610696044717759,2.6390573296152584,1.6094379124341003,0.009140654715910626,169,3.0,9.0
Juan Chen,Juan Chen,0,1,0,0,4,4,13.0,-0.05624147694345721,-0.75,4.0,2.6390573296152584,0.0,1.6094379124341003,-0.05788494740639193,0,4.0,0.0
Anne C. Fletcher,Anne C. Fletcher,1,1,5,0,2,2,8.0,-0.02333624044094776,0.0,2.0,2.1972245773362196,0.6931471805599453,1.0986122886681098,-0.023612842204261082,1,2.0,0.0
Jeremy Reynolds,Jeremy Reynolds,5,4,6,4,1,1,202.0,-0.24286551791840746,3.0,0.25,5.313205979041787,1.791759469228055,0.6931471805599453,-0.27821438996008513,25,1.0,4.0
John Levi Martin,John Levi Martin,18,8,23,17,5,4,117.0,0.0625928987809161,6.5,0.625,4.770684624465665,2.9444389791664403,1.6094379124341003,0.06071205214103719,324,1.0,14.0
Walter W. Powell,Walter W. Powell,21,2,31,15,4,4,557.0,0.47027579351332055,0.25,2.0,6.324358962381311,3.091042453358316,1.6094379124341003,0.3854499978281322,441,2.0,13.0
Nina Bandelj,Nina Bandelj,1,2,2,5,0,0,103.0,-0.023792588941776986,0.0,0.0,4.6443908991413725,0.6931471805599453,0.0,-0.024080203816232187,1,0.0,5.0
Karl Eschbach,Karl Eschbach,1,1,2,0,1,1,58.0,-0.02541971424366459,-1.0,1.0,4.07753744390572,0.6931471805599453,0.6931471805599453,-0.02574837681309395,1,1.0,0.0
Ana Maria Gonzalez Wahl,,0,2,0,4,4,4,82.0,-0.026527492729152478,0.75,2.0,4.418840607796598,0.0,1.6094379124341003,-0.026885695687471275,0,,
William W. Falk,William W. Falk,1,1,1,0,2,2,29.0,-0.21853908867868976,-1.5,2.0,3.4011973816621555,0.6931471805599453,1.0986122886681098,-0.24659014787464467,1,2.0,0.0
Bridget M. Gaertner,Bridget M. Gaertner,0,1,0,0,3,3,34.0,-0.09876221982025216,0.0,3.0,3.5553480614894135,0.0,1.3862943611198906,-0.1039861492213645,0,3.0,0.0
Derek A. Kreager,Derek A. Kreager,0,5,0,6,3,3,223.0,-0.14288959120156075,3.0,0.6,5.4116460518550396,0.0,1.3862943611198906,-0.15418853694565085,0,2.0,5.0
Witold J. Henisz,Witold J. Henisz,3,1,5,1,2,2,224.0,-0.21343545286969884,-1.5,2.0,5.41610040220442,1.3862943611198906,1.0986122886681098,-0.24008049102697998,9,2.0,1.0
Reuben J. Thomas,Reuben J. Thomas,0,1,0,3,1,1,217.0,-0.02109655703097328,-5.0,1.0,5.384495062789089,0.0,0.6931471805599453,-0.021322269539380108,0,1.0,3.0
Tiffany Taylor,Tiffany Taylor,1,1,2,3,3,3,156.0,-0.44137488123782415,-2.66666666667,3.0,5.056245805348308,0.6931471805599453,1.3862943611198906,-0.5822766591312277,1,3.0,3.0
Francesca Borgonovi,Francesca Borgonovi,0,1,0,0,0,0,50.0,-0.17227708082887258,0.0,0.0,3.9318256327243257,0.0,0.0,-0.18907681928310885,0,,
Tim Hallett,Tim Hallett,9,2,12,5,2,2,85.0,-0.010935824870236458,0.0,1.0,4.454347296253507,2.302585092994046,1.0986122886681098,-0.010996060556870265,81,1.0,4.0
Lea Kacen,Lea Kacen,0,1,0,0,0,0,15.0,0.026055340640868285,0.0,0.0,2.772588722239781,0.0,0.0,0.025721683540423198,0,,
Ronald Helms,Ronald Helms,0,3,0,0,2,1,33.0,-0.047824003194038754,-10.0,0.6666666666666666,3.5263605246161616,0.0,0.6931471805599453,-0.04900539068273716,0,1.0,0.0
David S. Kirk,David S. Kirk,1,1,1,4,0,0,75.0,-0.009796881861168751,0.0,0.0,4.330733340286331,0.6931471805599453,0.0,-0.0098451870607508,1,0.0,4.0
Trayci A. Dahl,Trayci A. Dahl,0,1,0,0,3,3,76.0,-0.056634705936331124,-0.333333333333,3.0,4.343805421853684,0.0,1.3862943611198906,-0.05830169695403458,0,3.0,0.0
Mary Blair Loy,,3,1,3,1,1,1,218.0,-0.0025001812509817365,-1.0,1.0,5.389071729816501,1.3862943611198906,0.6931471805599453,-0.002503311923379887,9,,
Davide Barrera,Davide Barrera,0,1,0,2,0,0,15.0,-0.010260248980211913,0.0,0.0,2.772588722239781,0.0,0.0,-0.010313248169705582,0,0.0,2.0
Martha A. Rueter,Martha A. Rueter,0,1,0,0,1,1,93.0,-0.06467967014368695,0.0,1.0,4.543294782270004,0.0,0.6931471805599453,-0.06686620959020498,0,1.0,0.0
Theodore N. Greenstein,Theodore N. Greenstein,0,5,0,4,4,3,621.0,-0.8256307765251656,3.0,0.8,6.432940092739179,0.0,1.3862943611198906,-1.7465802539812583,0,1.0,2.0
Abbey L. Eng,Abbey L. Eng,0,1,0,0,3,3,35.0,-0.02806412611699959,-10.0,3.0,3.58351893845611,0.0,1.3862943611198906,-0.02846545006943532,0,3.0,0.0
Edward J. Lawler,Edward J. Lawler,4,3,5,5,4,2,534.0,-0.03806105761832449,0.0,1.3333333333333333,6.282266746896006,1.6094379124341003,1.0986122886681098,-0.03880429978841959,16,0.0,3.0
Steven M. Kogan,Steven M. Kogan,0,1,0,0,3,3,34.0,-0.02269510854074348,-4.0,3.0,3.5553480614894135,0.0,1.3862943611198906,-0.022956606575425875,0,3.0,0.0
Francesca Grippa,Francesca Grippa,0,1,0,0,1,1,11.0,0.01657644714397116,0.0,1.0,2.4849066497880004,0.0,0.6931471805599453,0.016440557499411455,0,1.0,0.0
Karen Clay,Karen Clay,0,1,0,0,1,1,163.0,0.007869346321035945,-4.0,1.0,5.099866427824199,0.0,0.6931471805599453,0.007838544503196612,0,1.0,0.0
Andrej Mrvar,Andrej Mrvar,0,3,0,0,3,2,180.0,1.0074172619151573,-1.5,1.0,5.198497031265826,0.0,1.0986122886681098,0.6968489515013484,0,2.0,0.0
Jeroen K. Vermunt,Jeroen K. Vermunt,4,3,2,3,5,5,320.0,0.045218207384295384,-0.8,1.6666666666666667,5.771441123130016,1.6094379124341003,1.791759469228055,0.04422567451287654,16,4.0,2.0
Mark E. Feinberg,Mark E. Feinberg,0,1,0,0,2,2,113.0,-0.38284665333844065,-0.5,2.0,4.736198448394496,0.0,1.0986122886681098,-0.4826377500384356,0,2.0,0.0
Denise Previti,Denise Previti,0,1,0,0,1,1,47.0,-0.376564186791548,-22.0,1.0,3.871201010907891,0.0,0.6931471805599453,-0.4725094650980675,0,1.0,0.0
Ted L. Huston,Ted L. Huston,2,5,8,8,9,9,129.0,-0.04904516785877803,3.88888888889,1.8,4.867534450455582,1.0986122886681098,2.302585092994046,-0.05028871268431606,4,6.0,5.0
Robert Schoen,Robert Schoen,9,5,13,5,9,8,164.0,-0.10306751680928657,2.75,1.8,5.10594547390058,2.302585092994046,2.1972245773362196,-0.1087746893318079,81,7.0,4.0
Dwenda K. Gjerdingen,Dwenda K. Gjerdingen,0,1,0,0,0,0,49.0,-0.21073519909902821,0.0,0.0,3.912023005428146,0.0,0.0,-0.23665339859859164,0,,
Christine M. Beckman,Christine M. Beckman,0,2,0,7,2,2,168.0,-0.07365750597018257,-1.0,1.0,5.1298987149230735,0.0,1.0986122886681098,-0.07651124875568645,0,2.0,7.0
Thomas DeLeire,Thomas DeLeire,1,1,3,3,1,1,30.0,-0.06922084374585927,-6.0,1.0,3.4339872044851463,0.6931471805599453,0.6931471805599453,-0.0717332411715805,1,1.0,3.0
Mara Loveman,Mara Loveman,6,2,6,11,1,1,156.0,-0.23832889660417733,1.0,0.5,5.056245805348308,1.9459101490553132,0.6931471805599453,-0.27224043931156877,36,1.0,11.0
John W. McDonald,John W. McDonald,1,1,0,0,2,2,10.0,-0.021039489681413705,-0.5,2.0,2.3978952727983707,0.6931471805599453,1.0986122886681098,-0.021263974018406944,1,2.0,0.0
Sarah Damaske,Sarah Damaske,0,1,0,0,3,3,14.0,-0.016423794233302976,-1.33333333333,3.0,2.70805020110221,0.0,1.3862943611198906,-0.016560159897836792,0,3.0,0.0
Margaret E. Ensminger,Margaret E. Ensminger,0,3,0,1,9,9,10.0,-0.013441698227237868,1.77777777778,3.0,2.3978952727983707,0.0,2.302585092994046,-0.013532855648180882,0,8.0,0.0
Shira Offer,Shira Offer,0,2,0,7,3,3,147.0,-0.013057396103874899,-1.0,1.5,4.997212273764115,0.0,1.3862943611198906,-0.013143393320480229,0,3.0,7.0
Will Kalkhoff,Will Kalkhoff,1,1,1,3,2,2,9.0,-0.1726809509438348,-0.5,2.0,2.302585092994046,0.6931471805599453,1.0986122886681098,-0.1895648674785408,1,2.0,3.0
Reshma R. Mahendra,Reshma R. Mahendra,0,1,0,0,3,3,8.0,-0.0025001812509817365,0.0,3.0,2.1972245773362196,0.0,1.3862943611198906,-0.002503311923379887,0,3.0,0.0
Virag Molnar,Virág Molnár,2,2,3,11,1,1,18.0,-0.012697200965141054,-1.0,0.5,2.9444389791664403,1.0986122886681098,0.6931471805599453,-0.012778499328886592,4,,
Mary C. Still,Mary C. Still,0,1,0,3,1,1,65.0,-0.04925392145314641,-4.0,1.0,4.189654742026425,0.0,0.6931471805599453,-0.050508256771436826,0,1.0,3.0
Melanie T. Jones,Melanie T. Jones,0,1,0,3,1,1,114.0,0.35095661763269687,-5.0,1.0,4.74493212836325,0.0,0.6931471805599453,0.30081294716174045,0,1.0,3.0
Bill McCarthy,Bill McCarthy,4,3,6,11,2,2,263.0,-0.15040760683865387,-1.0,0.6666666666666666,5.575949103146316,1.6094379124341003,1.0986122886681098,-0.16299858196987196,16,1.0,10.0
Zolinda Stoneman,Zolinda Stoneman,0,1,0,0,2,2,38.0,-0.014016246563861197,-3.5,2.0,3.6635616461296463,0.0,1.0986122886681098,-0.014115401760548265,0,2.0,0.0
Vered Vinitzky Seroussi,,0,1,0,3,0,0,91.0,-1.0352543379013388,0.0,0.0,4.5217885770490405,0.0,0.0,,0,,
Evan Schofer,Evan Schofer,12,5,19,20,4,4,230.0,-0.1670950843071818,2.75,0.8,5.442417710521793,2.5649493574615367,1.6094379124341003,-0.18283579015788837,144,1.0,17.0
